Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/13/2026 11:00 AM ET,"308 HOPE CIR ORLANDO, 32811","$354,972.70","$238,660.00",Hidden,2025-CA-009635-O,292230922605040,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-009635-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292230922605040
07/14/2026 11:00 AM ET,"1311 WOODMAN WAY ORLANDO, 32818","$176,060.00","$86,202.00",Hidden,2020-CA-002362-O,282222323300020,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2020-CA-002362-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282222323300020
07/14/2026 11:00 AM ET,"9726 7TH AVE ORLANDO, 32824","$157,067.77","$126,059.00",Hidden,2024-CA-002127-O,292401851671307,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-002127-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292401851671307
07/14/2026 11:00 AM ET,"2032 CANOPY CIR UNIT 148 ZELLWOOD, 32798","$15,787.43","$173,120.00",Hidden,2024-CC-022231-O,272025982500148,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CC-022231-O&bypassPage=1,https://pcpao.gov/Parcel-Details/272025982500148
07/14/2026 11:00 AM ET,"5522 WESTHAVEN CT ORLANDO, 32810","$661,764.21","$85,039.00",Hidden,2025-CA-003404-O,MULTIPLE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-003404-O&bypassPage=1,https://pcpao.gov/Parcel-Details/MULTIPLE
07/14/2026 11:00 AM ET,"29TH ST ORLANDO, 32805","$202,271.43","$80,000.00",Hidden,2025-CA-007301-O,292303018057181,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-007301-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292303018057181
07/15/2026 11:00 AM ET,"1330 JEFF DR APOPKA, 32712","$73,141.16","$108,023.00","$104,383.32",2023-CA-000320-O,282102000000059,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023-CA-000320-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282102000000059
07/15/2026 11:00 AM ET,"879 BELHAVEN DR ORLANDO, 32828","$17,938.23","$710,250.00",Hidden,2024-CA-000953-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-000953-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
07/15/2026 11:00 AM ET,"822 CROOKED CREEK DR OCOEE, 34761","$373,425.89","$330,680.00","$327,795.00",2025-CA-005902-O,282220799700260,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-005902-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282220799700260
07/15/2026 11:00 AM ET,"1756 PEACHWOOD LN ORLANDO, 32818","$16,428.67","$166,172.00",Hidden,2025-CA-009846-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-009846-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
07/15/2026 11:00 AM ET,"4755 BUNTING AVE ORLANDO, 32812","$198,459.69","$58,762.00","$174,900.00",2025-CA-011062-O,302316161700540,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-011062-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302316161700540
07/16/2026 11:00 AM ET,"8514 PALM HARBOUR DR KISSIMMEE, 34747","$2,086,132.82","$77,990.00",Hidden,2025-CA-000355-O,Property,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-000355-O&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/16/2026 11:00 AM ET,"1248 COUNTRYMEN CT APOPKA, 32703",$0.00,"$183,170.00",Hidden,2025-CA-003863-O,Property,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-003863-O&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
07/16/2026 11:00 AM ET,"10514 LINGER LN ORLANDO, 32821","$15,451.62","$259,110.00",Hidden,2025-CA-009271-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-009271-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
07/20/2026 11:00 AM ET,"4654 COPPOLA DR MOUNT DORA, 32757","$35,681.24","$519,030.00",Hidden,2023-CC-006558-O,272003843804980,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023-CC-006558-O&bypassPage=1,https://pcpao.gov/Parcel-Details/272003843804980
07/21/2026 11:00 AM ET,"16760 CEDAR CREST DR ORLANDO, 32828","$360,954.44","$321,588.00",Hidden,2022-CA-007886-O,322231790102260,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2022-CA-007886-O&bypassPage=1,https://pcpao.gov/Parcel-Details/322231790102260
07/21/2026 11:00 AM ET,"13905 FAIRWAY ISLAND DR UNIT 1 ORLANDO, 32837","$60,898.29","$168,771.00",Hidden,2024-CA-008963-O,292427011701028,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-008963-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292427011701028
07/21/2026 11:00 AM ET,"2731 PLUMBERRY AVE OCOEE, 34761","$12,023.74","$484,007.00",Hidden,2025-CA-000045-O,282204627600180,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-000045-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282204627600180
07/21/2026 11:00 AM ET,"1348 WHITNEY ISLES DR WINDERMERE, 34786","$466,898.49","$536,957.00",Hidden,2025-CA-003624-O,282231926000050,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-003624-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282231926000050
